ID,ЧЛ-1-Б-1
Заголовок,Отображается ошибка 414 при вводе 10 000 символов в поисковую строку
Окружение,"Операционная система: Ubuntu Linux 22.04
Браузер: ""Chrome"" Версия 101.0.4951.64 (Официальная сборка), snap (64 бит)"
Приоритет,
Важность,Незначительная (minor)
Предусловия,"1. Перейти на сайт https://www.invitro.ru/ 
2. Открыть главную страницу
3. Скопировать тескт по ссылке: https://docs.google.com/document/d/e/2PACX-1vRvHElhT7uh2IkCztdsX1V3fh9CN7d4RJxNoRkghjGZm-6RWXzYFkNG2VsPsjkq9AQ22V0dCxPpT90Z/pub"
Шаги воспроизведения,"1. Вставить текст из предусловия в поле для поиска




2. Нажать на ""лупу""

"
ОР (Ожидаемый Результат),"Система отображает на экране текст: ""Ничего не найдено. Пожалуйста, повторите поиск с иным запросом."""
ФР (Фактический Результат),Ошибка 414 Request-URI Too Large
Постусловия,"Нажать в браузере стрелку назад, чтобы вернуться."
